Type,NIS,EstPx,EstPy,EstVx,EstVy,GtPx,GtPy,GtVx,GtVy
L,3.675108,8.008979,0.859519,2.065571,-4.686282,8.075190,0.991377,2.216290,-4.314910
R,0.747186,8.122632,0.634254,2.193432,-4.658560,8.187060,0.776179,2.260050,-4.295980
L,1.243575,8.249513,0.454793,2.233090,-4.509630,8.301150,0.561955,2.305080,-4.275950
R,4.338444,8.383214,0.262503,2.258461,-4.418475,8.417520,0.348763,2.351340,-4.254780
L,1.854839,8.494811,0.126119,2.272235,-4.175408,8.536230,0.136661,2.398810,-4.232410
R,6.261132,8.676839,-0.086454,2.741221,-4.212500,8.657340,-0.074291,2.447440,-4.208810
L,1.580033,8.840521,-0.241484,2.800893,-4.058198,8.780910,-0.284030,2.497200,-4.183940
R,6.386546,8.993442,-0.362011,2.926046,-3.829032,8.906990,-0.492491,2.548070,-4.157750
L,0.104533,9.143590,-0.569925,2.929314,-3.876388,9.035640,-0.699608,2.599980,-4.130200
R,1.521517,9.287703,-0.805816,2.910286,-3.996156,9.166910,-0.905311,2.652920,-4.101240
L,5.587947,9.378047,-1.116057,2.783718,-4.303351,9.300840,-1.109530,2.706830,-4.070840
R,3.305235,9.531942,-1.385051,2.993445,-4.489486,9.437500,-1.312190,2.761680,-4.038930
L,1.040696,9.710287,-1.592908,3.050729,-4.443737,9.576920,-1.513220,2.817400,-4.005490
R,3.443089,9.840925,-1.754843,2.845906,-4.236401,9.719140,-1.712530,2.873960,-3.970470
L,3.172144,9.944720,-1.928477,2.787581,-4.131844,9.864210,-1.910050,2.931310,-3.933810
R,2.850365,10.111681,-2.148653,3.082388,-4.225958,10.012200,-2.105700,2.989380,-3.895490
L,0.209405,10.257809,-2.345691,3.072465,-4.187297,10.163000,-2.299390,3.048130,-3.855460
R,5.859059,10.370680,-2.502393,2.832296,-3.996649,10.316900,-2.491030,3.107500,-3.813680
L,0.869494,10.513619,-2.754687,2.816131,-4.139604,10.473700,-2.680540,3.167420,-3.770100
R,0.489520,10.646460,-2.941042,2.732003,-4.061018,10.633500,-2.867830,3.227850,-3.724680
L,1.347659,10.761907,-3.113025,2.703783,-3.979886,10.796300,-3.052790,3.288700,-3.677390
R,6.025635,10.953929,-3.314904,3.166773,-4.093982,10.962200,-3.235350,3.349920,-3.628190
L,0.366168,11.124302,-3.479332,3.204689,-3.983982,11.131100,-3.415400,3.411440,-3.577050
R,1.679005,11.300428,-3.662069,3.359496,-3.977144,11.303200,-3.592840,3.473190,-3.523920
L,0.596148,11.489084,-3.863273,3.397826,-3.979645,11.478300,-3.767580,3.535090,-3.468770
R,0.488790,11.664625,-4.070872,3.401213,-4.000165,11.656500,-3.939500,3.597070,-3.411580
L,0.149068,11.848184,-4.255109,3.432967,-3.955687,11.837800,-4.108520,3.659050,-3.352310
R,1.936160,12.046077,-4.456682,3.532441,-3.979384,12.022300,-4.274530,3.720950,-3.290940
L,1.297847,12.251821,-4.579434,3.617688,-3.772605,12.209800,-4.437410,3.782700,-3.227440
R,2.415558,12.455065,-4.752728,3.820702,-3.787396,12.400300,-4.597070,3.844210,-3.161780
L,2.777906,12.670295,-4.833687,3.908639,-3.498128,12.594000,-4.753390,3.905390,-3.093950
R,0.775259,12.864009,-4.993782,3.825369,-3.425270,12.790700,-4.906260,3.966160,-3.023930
L,0.140993,13.068536,-5.155009,3.854551,-3.395880,12.990400,-5.055580,4.026430,-2.951710
R,4.606971,13.231266,-5.319082,3.790738,-3.385327,13.193100,-5.201240,4.086100,-2.877260
L,0.722386,13.391667,-5.505686,3.728302,-3.437704,13.398800,-5.343120,4.145100,-2.800590
R,6.748259,13.635107,-5.660756,4.138552,-3.503071,13.607400,-5.481110,4.203320,-2.721680
L,1.604489,13.826759,-5.792579,4.125143,-3.395214,13.818900,-5.615100,4.260670,-2.640530
R,1.398815,14.060653,-5.954754,4.258771,-3.400669,14.033200,-5.744990,4.317060,-2.557150
L,1.099357,14.310249,-6.058856,4.354160,-3.220942,14.250400,-5.870650,4.372380,-2.471540
R,0.009765,14.526508,-6.218334,4.338354,-3.211406,14.470300,-5.991970,4.426550,-2.383690
L,2.697426,14.775852,-6.267902,4.441373,-2.917217,14.692800,-6.108850,4.479460,-2.293640
R,1.854919,14.991385,-6.403350,4.476479,-2.910945,14.918000,-6.221180,4.531010,-2.201380
L,8.857648,15.171187,-6.461882,4.421906,-2.700059,15.145700,-6.328840,4.581110,-2.106940
R,0.977693,15.403402,-6.589507,4.420917,-2.666701,15.375800,-6.431730,4.629660,-2.010350
L,0.609184,15.639973,-6.669629,4.469246,-2.525811,15.608400,-6.529730,4.676550,-1.911620
R,1.754097,15.881335,-6.798432,4.667820,-2.597363,15.843200,-6.622760,4.721690,-1.810790
L,0.555807,16.132721,-6.936239,4.699912,-2.612484,16.080299,-6.710690,4.764970,-1.707900
R,5.474969,16.315648,-7.041871,4.410596,-2.478719,16.319500,-6.793420,4.806300,-1.602980
L,0.335762,16.558121,-7.132163,4.464350,-2.386282,16.560699,-6.870870,4.845580,-1.496080
R,1.090242,16.768730,-7.255946,4.456021,-2.409432,16.803801,-6.942920,4.882710,-1.387250
L,1.809094,17.021541,-7.282537,4.545340,-2.160986,17.048700,-7.009490,4.917600,-1.276530
R,2.075296,17.232405,-7.366276,4.463023,-2.078203,17.295300,-7.070480,4.950150,-1.163980
L,6.478073,17.524330,-7.290156,4.654611,-1.598421,17.543400,-7.125800,4.980260,-1.049680
R,7.308303,17.805191,-7.337200,4.951965,-1.577325,17.792999,-7.175370,5.007850,-0.933668
L,2.214736,18.079532,-7.313719,5.035034,-1.307623,18.044001,-7.219090,5.032820,-0.816029
R,6.695360,18.304629,-7.330458,4.846713,-1.129198,18.296101,-7.256900,5.055090,-0.696834
L,0.400605,18.554789,-7.345246,4.873900,-1.020015,18.549200,-7.288720,5.074560,-0.576160
R,4.572912,18.835662,-7.391078,4.990627,-1.012280,18.803301,-7.314460,5.091160,-0.454089
L,1.650749,19.067281,-7.400090,4.968217,-0.910504,19.058100,-7.334080,5.104810,-0.330708
R,2.783470,19.288064,-7.466112,4.832459,-0.943253,19.313499,-7.347500,5.115430,-0.206107
L,8.964575,19.641011,-7.370094,5.083791,-0.543490,19.569401,-7.354660,5.122940,-0.080380
R,0.402344,19.907864,-7.392465,5.141609,-0.538873,19.825500,-7.355510,5.127280,0.046376
L,1.437725,20.207152,-7.346463,5.240832,-0.339175,20.081800,-7.350000,5.128360,0.174060
R,1.814371,20.470259,-7.380119,5.341286,-0.418420,20.338100,-7.338090,5.126150,0.302565
L,3.933987,20.679956,-7.408028,5.231024,-0.452304,20.594200,-7.319740,5.120560,0.431784
R,2.636447,20.909594,-7.408410,4.953707,-0.326386,20.849899,-7.294910,5.111550,0.561605
L,3.366936,21.187357,-7.292567,5.043363,0.022655,21.105101,-7.263580,5.099060,0.691914
R,0.373030,21.445781,-7.282806,5.063781,0.044948,21.359600,-7.225730,5.083060,0.822593
L,1.837378,21.658352,-7.374941,4.964951,-0.209833,21.613199,-7.181340,5.063490,0.953522
R,6.680750,21.872701,-7.357807,4.571292,-0.036275,21.865700,-7.130400,5.040320,1.084580
L,11.452659,22.208932,-7.136518,4.826791,0.568825,22.117001,-7.072910,5.013520,1.215640
R,4.537518,22.396217,-7.113913,4.445235,0.623382,22.366899,-7.008870,4.983070,1.346570
L,4.707482,22.597430,-6.986143,4.426690,0.868051,22.615101,-6.938290,4.948930,1.477260
R,3.397964,22.845435,-6.970428,4.664677,0.745343,22.861601,-6.861190,4.911100,1.607560
L,0.228208,23.068993,-6.968939,4.639310,0.650029,23.106001,-6.777590,4.869560,1.737340
R,3.921653,23.255739,-6.940484,4.407992,0.669556,23.348301,-6.687510,4.824310,1.866480
L,1.703440,23.506454,-6.809997,4.484029,0.929019,23.588301,-6.590990,4.775350,1.994840
R,1.622352,23.755568,-6.776202,4.612216,0.878871,23.825701,-6.488090,4.722690,2.122280
L,3.109110,23.987054,-6.621239,4.635101,1.167725,24.060400,-6.378830,4.666330,2.248670
R,1.941225,24.192199,-6.550154,4.387421,1.246802,24.292200,-6.263280,4.606300,2.373890
L,4.682784,24.469389,-6.335724,4.521981,1.656597,24.520901,-6.141510,4.542620,2.497790
R,0.677467,24.714424,-6.248569,4.666595,1.646412,24.746300,-6.013570,4.475320,2.620230
L,1.010753,24.960294,-6.090686,4.701960,1.846574,24.968300,-5.879560,4.404440,2.741100
R,2.532542,25.158543,-5.986246,4.398940,1.923788,25.186600,-5.739540,4.330010,2.860260
L,1.962657,25.414320,-5.792520,4.479247,2.186687,25.401100,-5.593600,4.252090,2.977570
R,4.208406,25.583875,-5.685634,4.144969,2.217141,25.611700,-5.441850,4.170730,3.092910
L,11.566602,25.770884,-5.374818,4.134120,2.737450,25.818100,-5.284390,4.085980,3.206160
R,0.571920,25.956684,-5.236986,3.985126,2.756446,26.020201,-5.121310,3.997910,3.317190
L,0.100706,26.155572,-5.121378,3.981976,2.697985,26.217800,-4.952740,3.906590,3.425880
R,6.979607,26.341227,-4.951583,3.792287,2.818309,26.410700,-4.778800,3.812090,3.532120
L,4.256358,26.563869,-4.652768,3.868675,3.239717,26.598900,-4.599600,3.714500,3.635780
R,0.198698,26.767410,-4.487520,3.928297,3.244048,26.782101,-4.415290,3.613900,3.736760
L,1.568363,26.927738,-4.353788,3.860266,3.163002,26.960199,-4.226000,3.510380,3.834940
R,1.087764,27.125039,-4.184133,3.937636,3.184962,27.133101,-4.031860,3.404030,3.930230
L,2.903854,27.368541,-3.944986,4.028084,3.403114,27.300600,-3.833040,3.294950,4.022520
R,10.077660,27.514617,-3.776728,3.455058,3.446834,27.462500,-3.629670,3.183250,4.111720
L,0.750577,27.709416,-3.557835,3.497681,3.573011,27.618799,-3.421930,3.069030,4.197740
R,4.510990,27.853435,-3.365730,3.167867,3.633927,27.769400,-3.209950,2.952420,4.280490
L,3.074223,27.991577,-3.080945,3.135565,3.903686,27.914000,-2.993930,2.833510,4.359890
R,1.240415,28.122051,-2.878785,2.946471,3.931374,28.052700,-2.774010,2.712430,4.435860
L,3.353338,28.235943,-2.602137,2.887993,4.139185,28.185301,-2.550390,2.589300,4.508330
R,3.635702,28.333018,-2.399399,2.494687,4.143537,28.311600,-2.323220,2.464250,4.577240
L,0.728466,28.480581,-2.187835,2.535965,4.157611,28.431700,-2.092700,2.337400,4.642520
R,0.140529,28.609254,-1.983276,2.526553,4.149544,28.545300,-1.859000,2.208880,4.704120
L,0.495720,28.751516,-1.739342,2.555134,4.247664,28.652599,-1.622310,2.078830,4.761990
R,3.452373,28.844752,-1.529537,2.423678,4.240275,28.753201,-1.382820,1.947370,4.816100
L,2.061458,28.970377,-1.204674,2.429614,4.539719,28.847300,-1.140710,1.814650,4.866390
R,5.800257,29.039575,-0.969988,2.165853,4.559601,28.934700,-0.896184,1.680800,4.912840
L,0.948735,29.127482,-0.699358,2.127524,4.671233,29.015400,-0.649428,1.545950,4.955430
R,6.799442,29.166023,-0.463962,1.619546,4.672260,29.089300,-0.400636,1.410240,4.994130
L,1.419249,29.221021,-0.284606,1.575603,4.526995,29.156401,-0.150004,1.273820,5.028930
R,7.520158,29.279916,-0.046046,1.257375,4.555410,29.216700,0.102274,1.136820,5.059820
L,1.428980,29.333172,0.271996,1.234294,4.794255,29.270100,0.356002,0.999371,5.086810
R,1.381043,29.369839,0.518328,1.076599,4.807567,29.316601,0.610984,0.861619,5.109890
L,1.175769,29.444536,0.695926,1.119341,4.641849,29.356300,0.867027,0.723698,5.129080
R,5.801065,29.457356,0.942491,0.753546,4.666840,29.389000,1.123930,0.585743,5.144390
L,2.010439,29.507224,1.276676,0.766268,4.934193,29.414900,1.381520,0.447888,5.155840
R,3.556648,29.536089,1.524666,0.560089,4.924856,29.433800,1.639570,0.310266,5.163470
L,0.892125,29.540733,1.809791,0.513573,5.027689,29.445900,1.897920,0.173006,5.167300
R,4.686621,29.526373,2.041054,0.123338,4.946651,29.451200,2.156370,0.036238,5.167380
L,3.362157,29.510215,2.427476,0.065130,5.314715,29.449600,2.414740,-0.099914,5.163740
R,1.810533,29.484204,2.678539,-0.187196,5.254333,29.441200,2.672830,-0.235325,5.156440
L,4.596277,29.512325,3.039149,-0.133898,5.511708,29.426001,2.930470,-0.369875,5.145520
R,3.553053,29.467044,3.314593,-0.309385,5.499469,29.404200,3.187470,-0.503448,5.131050
L,1.680896,29.477046,3.499420,-0.247749,5.260642,29.375700,3.443670,-0.635928,5.113090
R,2.944408,29.419636,3.755839,-0.531134,5.216468,29.340599,3.698890,-0.767205,5.091710
L,3.745469,29.375666,3.898571,-0.541458,4.906495,29.299000,3.952950,-0.897172,5.066980
R,1.883086,29.350374,4.142265,-0.636852,4.886504,29.250900,4.205700,-1.025730,5.038970
L,3.034192,29.276553,4.360570,-0.708489,4.820750,29.196400,4.456970,-1.152770,5.007760
R,2.823999,29.196468,4.593323,-1.000968,4.765553,29.135599,4.706600,-1.278200,4.973440
L,1.917280,29.110406,4.915257,-1.083203,4.988075,29.068600,4.954440,-1.401940,4.936090
R,1.090096,29.035154,5.161755,-1.175546,4.971802,28.995399,5.200340,-1.523890,4.895800
L,2.029861,29.017682,5.386174,-1.094688,4.904725,28.916201,5.444160,-1.643970,4.852670
R,10.679308,28.901339,5.646519,-1.509132,4.889254,28.830999,5.685750,-1.762100,4.806780
L,0.204371,28.813586,5.919324,-1.538188,4.964676,28.739901,5.924980,-1.878220,4.758230
R,6.803425,28.676979,6.168415,-1.925308,4.910493,28.643101,6.161730,-1.992250,4.707130
L,0.139010,28.578995,6.391396,-1.922959,4.851875,28.540701,6.395850,-2.104120,4.653580
R,11.565120,28.499168,6.644354,-2.052251,4.837928,28.432699,6.627240,-2.213790,4.597670
L,1.034818,28.419974,6.810871,-1.989369,4.638652,28.319201,6.855780,-2.321190,4.539520
R,2.492589,28.293317,7.022598,-2.133646,4.563189,28.200500,7.081350,-2.426280,4.479220
L,3.406050,28.154224,7.391779,-2.231704,4.934108,28.076500,7.303860,-2.529000,4.416890
R,3.017916,28.004644,7.634338,-2.529812,4.863231,27.947500,7.523210,-2.629330,4.352630
L,0.340240,27.890169,7.833239,-2.494649,4.746817,27.813499,7.739290,-2.727220,4.286560
R,2.839793,27.722270,8.056707,-2.777203,4.654880,27.674700,7.952030,-2.822650,4.218770
L,0.791141,27.566444,8.266924,-2.802241,4.599673,27.531200,8.161340,-2.915580,4.149380
R,7.403205,27.381851,8.452439,-3.223488,4.376930,27.383101,8.367140,-3.005990,4.078490
L,1.236238,27.250321,8.589443,-3.142043,4.161082,27.230499,8.569360,-3.093880,4.006220
R,2.813487,27.069773,8.800099,-3.372212,4.109584,27.073601,8.767940,-3.179220,3.932670
L,5.670943,26.817602,9.140352,-3.573129,4.471355,26.912500,8.962800,-3.262000,3.857940
R,4.079496,26.616851,9.344500,-3.622815,4.420403,26.747299,9.153900,-3.342230,3.782160
L,3.942152,26.451875,9.434571,-3.547634,4.082818,26.578100,9.341190,-3.419900,3.705410
R,0.565382,26.282856,9.646816,-3.524264,4.105811,26.405199,9.524610,-3.495020,3.627810
L,0.117202,26.111099,9.864048,-3.519903,4.135260,26.228500,9.704140,-3.567590,3.549450
R,1.851924,25.919249,10.080205,-3.548122,4.165590,26.048300,9.879730,-3.637630,3.470450
L,4.190696,25.799074,10.138525,-3.384335,3.772441,25.864599,10.051400,-3.705150,3.390890
R,5.233221,25.589022,10.306706,-3.784325,3.592178,25.677601,10.219000,-3.770160,3.310870
L,3.914365,25.439880,10.344985,-3.655633,3.225244,25.487499,10.382600,-3.832700,3.230500
R,4.472739,25.228224,10.523143,-3.813038,3.234999,25.294201,10.542200,-3.892780,3.149870
L,0.732959,25.010115,10.693651,-3.869249,3.263666,25.098000,10.697800,-3.950440,3.069060
R,1.829978,24.797002,10.852488,-3.918142,3.252129,24.899000,10.849300,-4.005710,2.988170
L,0.464416,24.613085,10.968521,-3.877275,3.131990,24.697300,10.996700,-4.058610,2.907290
R,7.341288,24.401196,11.140187,-4.108354,3.085870,24.493000,11.140200,-4.109190,2.826500
L,0.463107,24.215659,11.293802,-4.069280,3.079032,24.286200,11.279500,-4.157490,2.745890
R,4.481364,23.996020,11.411082,-4.308980,2.880823,24.077101,11.414900,-4.203540,2.665530
L,3.310919,23.812898,11.434188,-4.197412,2.570648,23.865700,11.546200,-4.247390,2.585510
R,0.106535,23.604543,11.559259,-4.210426,2.552661,23.652201,11.673600,-4.289090,2.505890
L,0.202350,23.376267,11.716646,-4.257346,2.631566,23.436600,11.797000,-4.328680,2.426760
R,0.945739,23.142812,11.845312,-4.401690,2.575209,23.219101,11.916400,-4.366220,2.348180
L,0.309368,22.898825,11.998955,-4.459290,2.643618,22.999800,12.031900,-4.401740,2.270220
R,0.772145,22.673726,12.134536,-4.521206,2.621720,22.778799,12.143600,-4.435320,2.192950
L,0.401017,22.463656,12.222639,-4.471164,2.511235,22.556101,12.251300,-4.466990,2.116420
R,0.685830,22.250861,12.344697,-4.384270,2.535556,22.331900,12.355300,-4.496810,2.040710
L,2.527407,21.987406,12.465097,-4.470491,2.533311,22.106199,12.455500,-4.524840,1.965860
R,3.434811,21.748821,12.576220,-4.700293,2.376466,21.879200,12.552000,-4.551140,1.891940
L,0.926736,21.532965,12.634568,-4.635044,2.223213,21.650900,12.644800,-4.575750,1.818990
R,1.022506,21.307453,12.730968,-4.619288,2.182464,21.421499,12.734000,-4.598750,1.747060
L,4.710636,21.086845,12.923716,-4.635300,2.382069,21.190901,12.819700,-4.620180,1.676200
R,3.934420,20.824609,13.030313,-4.923733,2.212091,20.959299,12.901800,-4.640100,1.606470
L,3.215045,20.663691,13.043037,-4.704526,1.948665,20.726700,12.980400,-4.658580,1.537890
R,8.177898,20.410973,13.087697,-5.012282,1.629704,20.493200,13.055700,-4.675670,1.470510
L,0.409196,20.172726,13.180998,-4.992201,1.654048,20.258900,13.127600,-4.691420,1.404370
R,3.310542,19.910400,13.277925,-4.937897,1.753095,20.023899,13.196200,-4.705910,1.339500
L,3.749708,19.751168,13.242979,-4.699726,1.430766,19.788200,13.261600,-4.719180,1.275940
R,3.447232,19.498613,13.337477,-4.781271,1.468888,19.551800,13.323900,-4.731290,1.213720
L,2.473670,19.192659,13.445203,-4.936171,1.573141,19.314899,13.383100,-4.742300,1.152870
R,2.529096,18.940131,13.489726,-5.019848,1.428269,19.077400,13.439200,-4.752260,1.093410
L,1.687969,18.739465,13.477192,-4.874684,1.212366,18.839500,13.492500,-4.761240,1.035380
R,1.786296,18.466795,13.529886,-5.019904,1.138110,18.601101,13.542900,-4.769280,0.978790
L,4.367157,18.264835,13.613203,-4.929116,1.183455,18.362400,1
